행정구역별,2023,2023,2023,2023,2023
행정구역별,대학교 재학생수(A+B+C+D),일반대(A),전문대(B),교육대(C),산업대(D)
전국,"2,393,128","1,855,374","509,169","14,857","13,728"
서울특별시,"506,612","452,370","52,745","1,497",-
부산광역시,"198,221","165,461","31,261","1,499",-
대구광역시,"101,779","56,585","43,592","1,602",-
인천광역시,"75,103","51,170","19,440","1,283","3,210"
광주광역시,"94,217","75,438","17,444","1,335",-
대전광역시,"120,612","102,950","17,662",-,-
울산광역시,"29,318","18,840","10,478",-,-
세종특별자치시,"21,022","16,949","4,073",-,-
경기도,"439,322","275,249","162,780","1,293",-
강원특별자치도,"100,690","86,457","12,931","1,302",-
충청북도,"101,131","85,626","14,317","1,188",-
충청남도,"164,660","141,916","17,243","1,419","4,082"
전라북도,"101,637","74,444","19,605","1,152","6,436"
전라남도,"56,910","38,247","18,663",-,-
경상북도,"165,256","131,644","33,612",-,-
경상남도,"92,121","68,188","22,646","1,287",-
제주특별자치도,"24,517","13,840","10,677",-,-
